rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
93,DEN / DEN,"Mikkel MIKKELSEN, Mai SURROW",+15,14 - 2,"$4,100.00","12,510 / 7","https://bwfbadminton.com/player/76031/mikkel-mikkelsen,https://bwfbadminton.com/player/64816/mai-surrow","76031, 64816"
94,DEN / DEN,"Alexander BOND, Ditte SØBY",+2,18 - 9,"$4,167.24","12,380 / 7","https://bwfbadminton.com/player/58320/alexander-bond,https://bwfbadminton.com/player/86761/ditte-s%C3%98by","58320, 86761"
95,INA / INA,"Rinov RIVALDY, Vania Arianti SUKOCO",-4,7 - 6,$546.50,"12,320 / 8","https://bwfbadminton.com/player/88451/rinov-rivaldy,https://bwfbadminton.com/player/62428/vania-arianti-sukoco","88451, 62428"
96,RUS / RUS,"Anatoliy YARTSEV, Evgeniya KOSETSKAYA",+17,55 - 37,"$6,443.99","12,250 / 4","https://bwfbadminton.com/player/60783/anatoliy-yartsev,https://bwfbadminton.com/player/92400/evgeniya-kosetskaya","60783, 92400"
97,TPE / TPE,"LEE Yang, HSU Ya Ching",-5,0 - 0,"$4,699.98","12,210 / 5","https://bwfbadminton.com/player/69448/lee-yang,https://bwfbadminton.com/player/74561/hsu-ya-ching","69448, 74561"
98,CHN / CHN,"WANG Yi Lyu, HUANG Dong Ping",-5,0 - 0,"$46,188.75","12,120 / 3","https://bwfbadminton.com/player/99452/wang-yi-lyu,https://bwfbadminton.com/player/89426/huang-dong-ping","99452, 89426"
99,JPN / JPN,"Ryota TAOHATA, Koharu YONEMOTO",+12,9 - 5,"$16,025.58","11,870 / 4","https://bwfbadminton.com/player/36009/ryota-taohata,https://bwfbadminton.com/player/26238/koharu-yonemoto","36009, 26238"
100,NED / NED,"Robin TABELING, Cheryl SEINEN",+27,0 - 0,"$3,308.62","11,780 / 5","https://bwfbadminton.com/player/66357/robin-tabeling,https://bwfbadminton.com/player/70503/cheryl-seinen","66357, 70503"
101,RUS / RUS,"Andrey PARAKHODIN, Anastasiia AKCHURINA",+4,24 - 13,"$1,505.01","11,770 / 6","https://bwfbadminton.com/player/85632/andrey-parakhodin,https://bwfbadminton.com/player/33989/anastasiia-akchurina","85632, 33989"
102,INA / INA,"Yehezkiel Fritz MAINAKY, Lyanny Alessandra MAINAKY",+10,0 - 14,$0.00,"11,520 / 10","https://bwfbadminton.com/player/68050/yehezkiel-fritz-mainaky,https://bwfbadminton.com/player/64558/lyanny-alessandra-mainaky","68050, 64558"
103,NZL / HKG,"CHAN Alan Yun Lung, TSE Ying Suet",-8,59 - 57,"$52,472.24","11,490 / 5","https://bwfbadminton.com/player/3907/chan-alan-yun-lung,https://bwfbadminton.com/player/61435/tse-ying-suet","3907, 61435"
104,USA / USA,"Yan Tuck CHAN, Yuko KAWASAKI",-5,0 - 5,$0.00,"11,340 / 7","https://bwfbadminton.com/player/68041/yan-tuck-chan,https://bwfbadminton.com/player/56512/yuko-kawasaki","68041, 56512"
105,KOR / KOR,"KIM Dae Eun, GO Ah Ra",+33,12 - 9,"$10,360.60","11,300 / 3","https://bwfbadminton.com/player/80775/kim-dae-eun,https://bwfbadminton.com/player/35131/go-ah-ra","80775, 35131"
106,TPE / TPE,"WANG Chi-Lin, LEE Chia Hsin",-3,7 - 7,"$6,436.85","11,290 / 6","https://bwfbadminton.com/player/96514/wang-chi-lin,https://bwfbadminton.com/player/76717/lee-chia-hsin","96514, 76717"
107,CZE / CZE,"Jaromir JANACEK, Katerina TOMALOVA",-6,7 - 14,$187.50,"11,234 / 13","https://bwfbadminton.com/player/87933/jaromir-janacek,https://bwfbadminton.com/player/81794/katerina-tomalova","87933, 81794"
108,KOR / KOR,"CHUNG Eui Seok, YOO Chae Ran",+32,0 - 0,"$10,601.23","11,110 / 3","https://bwfbadminton.com/player/99472/chung-eui-seok,https://bwfbadminton.com/player/79061/yoo-chae-ran","99472, 79061"
